Code #,Count,Title,HTML address,URL: doc address,Date accessed,Accessed by,Source,Day/Month,Year,Material type,Government Level 1,Government Level 2,Citation,Database name,Database link,Search terms used,Filters applied,Other Notes
356,12289,"Data, data everywhere: detecting spatial patterns in fine-scale ecological information collected across a continent",,https://www.treesearch.fs.fed.us/pubs/50061,3/2/2017,EF,,,2016,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
358,8059,"Effects of Grosmannia clavigera and Leptographium longiclavatum on Western White Pine seedlings and the fungicidal activity of Alamo®, Arbotect®, and TREE-age®",,https://www.treesearch.fs.fed.us/pubs/50947,3/2/2017,EF,,,2016,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
359,9680,Elevational shifts in thermal suitability for mountain pine beetle population growth in a changing climate,,https://www.treesearch.fs.fed.us/pubs/50475,3/2/2017,EF,,,2016,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
360,14211,Fortifying the forest: Thinning and burning increase resistance to a bark beetle outbreak and promote forest resilience,,https://www.treesearch.fs.fed.us/pubs/52818,3/2/2017,EF,,,2016,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
361,16194,Hedonic valuation with translating amenities: Mountain Pine Beetles and host trees in the Colorado Front Range,,https://www.treesearch.fs.fed.us/pubs/52862,3/2/2017,EF,,,2016,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
362,6776,Influence of mountain pine beetle epidemic on winter habitat conditions for Merriam's turkeys: Management implications for current and future condition,,https://www.treesearch.fs.fed.us/pubs/50257,3/2/2017,EF,,,2016,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
363,11144,Landscape biology of western white pine: implications for conservation of a widely-distributed five-needle pine at its southern range limit,,https://www.treesearch.fs.fed.us/pubs/53240,3/2/2017,EF,,,2016,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
364,80606,"Mountain pine beetles: A century of knowledge, control attempts, and impacts central to the Black Hills",,https://www.treesearch.fs.fed.us/pubs/52308,3/2/2017,EF,,,2016,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
365,12717,Mountain pine beetle host selection between lodgepole and ponderosa pines in the southern Rocky Mountains,,https://www.treesearch.fs.fed.us/pubs/52969,3/2/2017,EF,,,2016,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
366,11653,Mountain pine beetle dynamics and reproductive success in post-fire lodgepole and ponderosa pine forests in northeastern Utah,,https://www.treesearch.fs.fed.us/pubs/53477,3/2/2017,EF,,,2016,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
367,12415,Native bark beetles and wood borers in Mediterranean forests of California,,https://www.treesearch.fs.fed.us/pubs/52635,3/2/2017,EF,,,2016,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
368,7514,Pilot-scale demonstration of SPORL for bioconversion of lodgepole pine to bioethanol and lignosulfonate,,https://www.treesearch.fs.fed.us/pubs/52602,3/2/2017,EF,,,2016,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
369,11503,Restoration planting options for limber pine (Pinus flexilis James) in the Southern Rocky Mountains,,https://www.treesearch.fs.fed.us/pubs/52449,3/2/2017,EF,,,2016,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
370,11463,"Targeted capture sequencing in Whitebark pine reveals range-wide demographic and adaptive patterns despite challenges of a large, repetitive genome",,https://www.treesearch.fs.fed.us/pubs/53143,3/2/2017,EF,,,2016,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
371,1878,The growing knowledge base for limber pine - recent advances,,https://www.treesearch.fs.fed.us/pubs/53396,3/2/2017,EF,,,2016,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
372,7916,Using structural sustainability for forest health monitoring and triage: Case study of a mountain pine beetle (Dendroctonusponderosae)-impacted landscape,,https://www.treesearch.fs.fed.us/pubs/52312,3/2/2017,EF,,,2016,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
373,8963,Volatile and within-needle terpene changes to Douglas-fir trees associated with Douglas-fir beetle (Coleoptera: Curculionidae) attack,,https://www.treesearch.fs.fed.us/pubs/52776,3/2/2017,EF,,,2016,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
374,9371,A novel semiochemical tool for protecting Pinus contorta from mortality attributed to Dendroctonus ponderosae (Coleoptera: Curculionidae),,https://www.treesearch.fs.fed.us/pubs/52678,3/2/2017,EF,,,2015,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
375,4410,Alternative timing of carbaryl treatments for protecting lodgepole pine from mortality attributed to mountain pine beetle,,https://www.treesearch.fs.fed.us/pubs/49534,3/2/2017,EF,,,2015,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
376,10008,"Apparent foraging success reflects habitat quality in an irruptive species, the Black-backed Woodpecker",,https://www.treesearch.fs.fed.us/pubs/48089,3/2/2017,EF,,,2015,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
377,9663,Assessing the potential for maladaptation during active management of limber pine populations: A common garden study detects genetic differentiation in response to soil moisture in the Southern Rocky Mountains,,https://www.treesearch.fs.fed.us/pubs/52551,3/2/2017,EF,,,2015,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
378,15552,Carbon dynamics in central US Rockies lodgepole pine type after mountain pine beetle outbreaks,,https://www.treesearch.fs.fed.us/pubs/52125,3/3/2017,EF,,,2015,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
379,13848,"Comparison of riparian and upland forest stand structure and fuel loads in beetle infested watersheds, southern Rocky Mountains",,https://www.treesearch.fs.fed.us/pubs/47753,3/3/2017,EF,,,2015,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
380,3902,"Forest attributes and fuel loads of riparian vs. upland stands in mountain pine beetle infested watersheds, southern Rocky Mountains [Chapter 13]",,https://www.treesearch.fs.fed.us/pubs/49544,3/3/2017,EF,,,2015,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
381,11726,Forest biogeochemistry in response to drought,,https://www.treesearch.fs.fed.us/pubs/50815,3/3/2017,EF,,,2015,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
382,11991,Geographically variable response of Dendroctonus ponderosae to winter warming in the western United States,,https://www.treesearch.fs.fed.us/pubs/48000,3/3/2017,EF,,,2015,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
384,11255,Integrating models to investigate critical phenological overlaps in complex ecological interactions: The mountain pine beetle-fungus symbiosis,,https://www.treesearch.fs.fed.us/pubs/52198,3/3/2017,EF,,,2015,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
385,738,Limber pine conservation strategy: Recommendations for Rocky Mountain National Park,,https://www.treesearch.fs.fed.us/pubs/52448,3/3/2017,EF,,,2015,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
386,10729,Long-term efficacy of diameter-limit cutting to reduce mountain pine beetle-caused tree mortality in a lodgepole pine forest,,https://www.treesearch.fs.fed.us/pubs/50474,3/3/2017,EF,,,2015,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
387,11932,Modeling spatial and temporal dynamics of wind flow and potential fire behavior following a mountain pine beetle outbreak in a lodgepole pine forest,,https://www.treesearch.fs.fed.us/pubs/48587,3/3/2017,EF,,,2015,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
388,6672,Mountain pine beetles use volatile cues to locate host limber pine and avoid non-host Great Basin bristlecone pine,,https://www.treesearch.fs.fed.us/pubs/49464,3/3/2017,EF,,,2015,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
389,2662,Mountain pine beetle infestation: GCxGCTOFMS and GC-MS of lodgepole pine (pinus contorta) acetone extractives,,https://www.treesearch.fs.fed.us/pubs/51021,3/3/2017,EF,,,2015,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
390,2742,Preparation of Fe-cored carbon nanomaterials from mountain pine beetle-killed pine wood,,https://www.treesearch.fs.fed.us/pubs/52743,3/3/2017,EF,,,2015,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
391,5236,Science You Can Use Bulletin: Slash from the past: Rehabilitating pile burn scars,,https://www.treesearch.fs.fed.us/pubs/49554,3/3/2017,EF,,,2015,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
392,11178,Selection for resistance to white pine blister rust affects the abiotic stress tolerances of limber pine,,https://www.treesearch.fs.fed.us/pubs/48588,3/3/2017,EF,,,2015,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
393,10919, Situating adaptation: How governance challenges and perceptions of uncertainty influence adaptation in the Rocky Mountains,,https://www.treesearch.fs.fed.us/pubs/46725,3/3/2017,EF,,,2015,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
394,12010,"Spatiotemporal dynamics of recent mountain pine beetle and western spruce budworm outbreaks across the Pacific Northwest Region, USA",,https://www.treesearch.fs.fed.us/pubs/49080,3/3/2017,EF,,,2015,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
395,9727,Species composition influences management outcomes following mountain pine beetle in lodgepole pine-dominated forests,,https://www.treesearch.fs.fed.us/pubs/47835,3/3/2017,EF,,,2015,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
396,10844,"Tree response and mountain pine beetle attack preference, reproduction, and emergence timing in mixed whitebark and lodgepole pines",,https://www.treesearch.fs.fed.us/pubs/50473,3/3/2017,EF,,,2015,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
397,10293,The effects of seed source health on whitebark pine (Pinus albicaulis) regeneration density after wildfire,,https://www.treesearch.fs.fed.us/pubs/52985,3/3/2017,EF,,,2015,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
398,2404,Using landscape-level forest monitoring data to draw a representative picture of an iconic subalpine tree species,,https://www.treesearch.fs.fed.us/pubs/50391,3/3/2017,EF,,,2015,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
399,4449,Woodpecker forage availability in habitat disturbances of the Black Hills,,https://www.fs.fed.us/rm/pubs_journals/2015/rmrs_2015_dickerson_b001.pdf,3/3/2017,EF,,,2015,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
400,2395,"A comment on ""Management for mountain pine beetle outbreak suppression: Does relevant science support current policy?""",,https://www.fs.fed.us/psw/publications/fettig/psw_2014_fettig003.pdf,3/3/2017,EF,,,2014,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
401,20777,Applied chemical ecology of the mountain pine beetle,,https://www.fs.fed.us/rm/pubs_other/rmrs_2014_progar_r001.pdf,3/3/2017,EF,,6,2014,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
402,10360,"Bark beetles and drawf mistletoe interact to alter downed woody material, canopy structure, and stand characteristics in northern Colorado ponderosa pine",,https://www.fs.fed.us/rm/pubs_other/rmrs_2014_klutsch_j001.pdf,3/3/2017,EF,,,2014,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
403,4009,Beetles among us: Social and economic impacts of the MPB epidemic [Chapter 6],,https://www.fs.fed.us/rm/pubs/rmrs_p070/rmrs_p070_049_060.pdf,3/3/2017,EF,,,2014,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
404,7531,Comparisons of high titer ethanol production and lignosulfonate properties by SPORL pretreatment of lodgepole pine at two temperatures,,https://www.fpl.fs.fed.us/documnts/pdf2014/fpl_2014_zhou003.pdf,3/3/2017,EF,,,2014,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
405,16552,Cultural practices for prevention and control of mountain pine beetle infestations,,https://www.fs.fed.us/psw/publications/fettig/psw_2014_fettig004.pdf,3/3/2017,EF,,,2014,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
406,20200,Ecological consequences of mountain pine beetle outbreaks for wildlife in western North American forests,,https://www.fs.fed.us/rm/pubs_other/rmrs_2014_saab_v001.pdf,3/3/2017,EF,,,2014,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
407,3686,Ecological consequences of the MPB epidemic for habitats and populations of wildlife [Chapter 5],,https://www.fs.fed.us/rm/pubs/rmrs_p070/rmrs_p070_039_048.pdf,3/3/2017,EF,,,2014,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
408,10709,Effects of dwarf mistletoe on stand structure of lodgepole pine forests 21-28 years post-mountain pine beetle epidemic in central Oregon,,https://www.fs.fed.us/pnw/pubs/journals/pnw_2014_agne001.pdf,3/3/2017,EF,,,2014,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
409,7832,Evaluations of emamectin benzoate and propiconazole for protecting individual Pinus contorta from mortality attributed to colonization by Dendroctonus ponderosae and associated fungi,,https://www.fs.fed.us/psw/publications/fettig/psw_2014_fettig002.pdf,3/3/2017,EF,,,2014,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
410,8426,"Evolution of a short-term study of lodgepole pine dwarf mistletoe vectors that turned into a long-term study of the remarkable gray jay on the Fraser Experimental Forest, Colorado, 1982-2009",,https://www.fs.fed.us/nrs/pubs/jrnl/2014/nrs_2014_nicholls_001.pdf,3/3/2017,EF,,,2014,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
411,13508,Forest development and carbon dynamics after mountain pine beetle outbreaks,,https://www.fs.fed.us/rm/pubs_other/rmrs_2014_hansen_m001.pdf,3/3/2017,EF,,,2014,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
412,3333,Forests in transition: Post-epidemic vegetation conditions [Chapter 4],,https://www.fs.fed.us/rm/pubs/rmrs_p070/rmrs_p070_029_038.pdf,3/3/2017,EF,,,2014,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
413,13099,Fuel treatments and landform modify landscape patterns of burn severity in an extreme fire event,,https://www.fs.fed.us/pnw/pubs/journals/pnw_2014_prichard001.pdf,3/3/2017,EF,,,2014,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
414,28568,"Future Forests Webinar Series, Webinar Proceedings and Summary: Ongoing research and management responses to the mountain pine beetle outbreak",,https://www.fs.fed.us/rm/pubs/rmrs_p070.pdf,3/3/2017,EF,,,2014,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
415,14013,"Influence of large wood on channel morphology and sediment storage in headwater mountain streams, Fraser Experimental Forest, Colorado",,https://www.fs.fed.us/rm/pubs_other/rmrs_2014_ryan_s001.pdf,3/3/2017,EF,,,2014,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
416,13906,"Interactions among the mountain pine beetle, fires, and fuels",,https://www.fs.fed.us/rm/pubs_other/rmrs_2014_jenkins_m001.pdf,3/3/2017,EF,,,2014,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
417,1138,Is the western United States running out of trees?,,https://www.fs.fed.us/rm/pubs_journals/2014/rmrs_2014_shaw_j001.pdf,3/3/2017,EF,,,2014,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
418,11078,Landscape dynamics of mountain pine beetles,,https://www.fs.fed.us/rm/pubs_other/rmrs_2014_lundquist_j001.pdf,3/3/2017,EF,,,2014,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
419,13582,Mountain pine beetle voltinism and life history characteristics across latitudinal and elevational gradients in the western United States,,https://www.fs.fed.us/rm/pubs_other/rmrs_2014_bentz_b001.pdf,3/3/2017,EF,,,2014,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
420,5982,Mountain pine beetle-killed lodgepole pine for the production of submicron lignocellulose fibrils,,https://www.fpl.fs.fed.us/documnts/pdf2014/fpl_2014_hoeger001.pdf,3/3/2017,EF,,,2014,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
421,4144,"Mountain pine beetle, a major disturbance agent in US western coniferous forests: A synthesis of the state of knowledge [Research in Review]",,https://www.fs.fed.us/rm/pubs_other/rmrs_2014_negron_j001.pdf,3/3/2017,EF,,,2014,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
422,10288,Mountain pine beetle-caused mortality over eight years in two pine hosts in mixed-conifer stands of the southern Rocky Mountains,,https://www.fs.fed.us/rm/pubs_journals/2014/rmrs_2014_west_d001.pdf,3/3/2017,EF,,,2014,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
423,6680,"Mountain pine beetle seasonal timing and constraints to bivoltinism (A comment on Mitton and Ferrenberg, ""Mountain pine beetle develops an unprecedented summer generation in response to climate warming"")",,https://www.fs.fed.us/rm/pubs_journals/2014/rmrs_2014_bentz_b002.pdf,3/3/2017,EF,,,2014,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
424,2411,Moving forward: Responding to and mitigating effects of the MPB epidemic [Chapter 8],,https://www.fs.fed.us/rm/pubs/rmrs_p070/rmrs_p070_073_079.pdf,3/3/2017,EF,,,2014,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
425,1029,Natural regeneration of whitebark pine: Factors affecting seedling density,,https://www.fs.fed.us/rm/pubs_journals/2014/rmrs_2014_goeking_s001.pdf,3/3/2017,EF,,,2014,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
426,2671,Overview of the future forest webinar series [Chapter 1],,https://www.fs.fed.us/rm/pubs/rmrs_p070/rmrs_p070_001_008.pdf,3/3/2017,EF,,,2014,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
427,12962,Phenology and density-dependent dispersal predict patterns of mountain pine beetle (Dendroctonus ponderosae) impact,,https://www.fs.fed.us/rm/pubs_other/rmrs_2014_powell_j001.pdf,3/3/2017,EF,,,2014,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
428,14892,Phoretic symbionts of the mountain pine beetle (Dendroctonus ponderosae Hopkins),,https://www.fs.fed.us/rm/pubs_other/rmrs_2014_mercado_j001.pdf,3/3/2017,EF,,,2014,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
429,3908,Post-epidemic fire risk and behavior [Chapter 3],,https://www.fs.fed.us/rm/pubs/rmrs_p070/rmrs_p070_019_028.pdf,3/3/2017,EF,,,2014,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
430,11854,Resiliency of an interior ponderosa pine forest to bark beetle infestations following fuel-reduction and forest-restoration treatments,,https://www.fs.fed.us/psw/publications/fettig/psw_2014_fettig001.pdf,3/3/2017,EF,,,2014,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
431,1735,Role of climate change in reforestation and nursery practices,,https://www.fs.fed.us/rm/pubs_other/rmrs_2014_williams_m001.pdf,3/3/2017,EF,,,2014,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
432,4335,Small bugs with big impacts: Ecosystem and watershed-level responses to the MPB epidemic [Chapter 7],,https://www.fs.fed.us/rm/pubs/rmrs_p070/rmrs_p070_061_072.pdf,3/3/2017,EF,,,2014,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
433,8549,"Space-use and habitat associations of Black-backed Woodpeckers (Picoides articus) occupying recently disturbed forests in the Black Hills, South Dakota",,https://www.fs.fed.us/rm/pubs_other/rmrs_2014_rota_c001.pdf,3/3/2017,EF,,,2014,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
434,12587,The once and future forest: Consequences of mountain pine beetle treatment decisions,,https://www.fs.fed.us/rm/pubs_other/rmrs_2014_gillette_n001.pdf,3/3/2017,EF,,,2014,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
435,8872,"The role of wildfire, prescribed fire, and mountain pine beetle infestations on the population dynamics of black-backed woodpeckers in the Black Hills, South Dakota",,https://www.fs.fed.us/rm/pubs_other/rmrs_2014_rota_c002.pdf,3/3/2017,EF,,,2014,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
436,9636,"Tree mortality after synchronized forest insect outbreaks: effects of tree species, bole diameter, and cutting history",,https://www.fs.fed.us/pnw/pubs/journals/pnw_2014_johnson001.pdf,3/3/2017,EF,,,2014,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
437,12623,Use of repellents forumlated in Specialized Pheromone and Lure Application Technology (SPLATR) for effective insect pest management,,https://www.fs.fed.us/psw/publications/fettig/psw_2014_fettig006_mafra-neto.pdf,3/3/2017,EF,,,2014,Federal agency document,Department of Agriculture,Forest Service,,TreeSearch: U.S. Forest Service Research Publications,http://www.treesearch.fs.fed.us,"""mountain pine beetle"" ",None,
